Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
BluePointe Ventures;https://www.crunchbase.com/organization/bluepointe-ventures;;;San Mateo, California, United States;Private Equity Firm;BPV is a seed/early investor in micro funds and startups in 4 verticals: Big Data, Cloud/SaaS, Smart Devices, and Media.;http://www.bluepointeventures.com;;;;;;;;
Blueprint Ventures;https://www.crunchbase.com/organization/blueprint-ventures;34;8;San Francisco, California, United States;Venture Capital;Blueprint Ventures is a technology investment firm that focuses on start-ups delivering disruptive products to market.;http://www.blueprintventures.com;;;;20;9;;;
BlueRun Aster;https://www.crunchbase.com/organization/bluerun-aster;2;;Menlo Park, California, United States;Venture Capital;BlueRun Aster focus on early stage opportunities across mobile software and services and financial technology.;http://brv.com/;;;;2;1;;;
BlueRun Lotus;https://www.crunchbase.com/organization/bluerun-lotus;2;;Menlo Park, California, United States;Venture Capital;BlueRun Lotus focus on early stage opportunities across mobile software and services and financial technology.;http://brv.com/;;;;2;1;;;
BlueRun Ventures;https://www.crunchbase.com/organization/bluerun-ventures;133;28;Menlo Park, California, United States;Venture Capital;BlueRun Ventures is an early-stage venture capital firm focused on opportunities across mobile software, services, and financial technology.;http://www.brv.com;http://twitter.com/bluerunventures;;;76;35;;;
Blueseed;https://www.crunchbase.com/organization/blueseed;;;Palo Alto, California, United States;Micro VC;Blueseed is a visa-free startup community on a cruise ship stationed in Silicon Valley.;http://blueseed.com;http://twitter.com/BlueseedProject;http://www.facebook.com/BlueseedProject;http://www.linkedin.com/company/blueseed;;;;;
Blum Capital Partners;https://www.crunchbase.com/organization/blum-capital-partners;2;;San Francisco, California, United States;Private Equity Firm;Blum Capital is an investment management firm.;http://blumcapital.com;;;;2;1;;;
Blumberg Capital;https://www.crunchbase.com/organization/blumberg-capital;121;18;San Francisco, California, United States;Venture Capital;Blumberg Capital is an early-stage venture capital firm that invests in a range of technology companies.;http://www.blumbergcapital.com;http://twitter.com/blumbergcapital;http://www.facebook.com/blumbergcapital;http://www.linkedin.com/company/blumberg-capital;79;31;;;
BMNT Capital;https://www.crunchbase.com/organization/bmnt-capital;1;;Palo Alto, California, United States;Venture Capital;BMNT is a consulting firm that advises technology companies that work with the American military.;http://www.bmnt.com;;;;1;;;;
BMW i Ventures;https://www.crunchbase.com/organization/bmw-ventures;18;1;Mountain View, California, United States;Corporate Venture Capital;The field of location-based mobility services is emerging and continuously changing. In order to engage in the most flexible way, the BMW;http://www.bmwiventures.com;http://twitter.com/bmwi;;;16;5;;;
Boat Rocker Ventures;https://www.crunchbase.com/organization/boat-rocker-ventures;1;;Santa Monica, California, United States;Venture Capital;Boat Rocker Ventures acquires, invests in and builds consumer-facing entertainment intellectual property and technology.;http://boatrocker.com/about/boat-rocker-ventures/;;;;1;;;;
Bold Capital Partners;https://www.crunchbase.com/organization/bold-capital;10;;Santa Monica, California, United States;Venture Capital;Investing in Exponential Transformation;http://www.boldcapitalpartners.com/;;;;8;1;;;
Bootstrap Incubation;https://www.crunchbase.com/organization/bootstrap-incubation-llc;8;;Solana Beach, California, United States;Venture Capital;Bootstrap Incubation LLC is a venture capital firm.;http://www.bootstrapincubation.com/;https://twitter.com/bootstrapinc;https://www.facebook.com/BootstrapIncubation;https://www.linkedin.com/company/bootstrap-incubation;6;4;;;
BootstrapLabs;https://www.crunchbase.com/organization/bootstraplabs;16;1;San Francisco, California, United States;Venture Capital;BootstrapLabs is a venture capital that provides human capital and venture capital to build and scale technology companies.;http://bootstraplabs.com;http://twitter.com/bootstraplabs;http://www.facebook.com/bootstraplabs;http://www.linkedin.com/company/bootstraplabs;15;5;;;
Boulevard Capital Partners;https://www.crunchbase.com/organization/boulevard-capital-partners;2;;Los Angeles, California, United States;Venture Capital;Boulevard Capital Partners was added in 2013.;http://www.boulevardcapitalpartners.com;;;;1;1;;;
Bow Capital;https://www.crunchbase.com/organization/bow-capital;2;;San Francisco, California, United States;Venture Capital;Bow Capital is a venture capital firm with a mission to partner with entrepreneurs using technology to better our world;https://www.linkedin.com/company/bow-capital;;;https://www.linkedin.com/company/bow-capital;2;;;;
Bow Ventures;https://www.crunchbase.com/organization/bow-ventures;;;Palo Alto, California, United States;Venture Capital;Bow Ventures.;http://www.;;;;;;;;
Bowman Capital;https://www.crunchbase.com/organization/bowman-capital;42;25;San Mateo, California, United States;Private Equity Firm;Bowman Capital Management is an institutional investor specializing in both public and private technology growth companies.;http://bowmancapital.com/;;;;39;22;;;
BP Ventures;https://www.crunchbase.com/organization/bp-ventures;21;3;Palo Alto, California, United States;Corporate Venture Capital;BP Ventures is a venture capital firm that identifies and invests in private and high-growth technology companies.;http://www.bp.com/en/global/corporate/technology/technology-strategy/venturing.html;;;;21;2;;;
BrahmaX Ventures;https://www.crunchbase.com/organization/brahmax-ventures;2;;Calabasas, California, United States;Venture Capital;BrahmaX Ventures provides advice and venture capital to start up businesses.;http://www.brahmax.com;https://www.twitter.com/brahmaxvc;https://www.facebook.com/1512674145663476;;1;;;;
Brainstorm Ventures;https://www.crunchbase.com/organization/brainstorm-ventures;2;;San Francisco, California, United States;Venture Capital;Brainstorm Ventures is an early-stage venture capital firm that invests in disruptive technology companies.;http://www.brainstorm.vc;;;;2;;;;
Brainware LLC;https://www.crunchbase.com/organization/brainware-llc;3;;Aliso Viejo, California, United States;Venture Capital;We are a startup studio building SaaS and machine learning BPO solutions;http://www.brainware.io;https://www.twitter.com/brainwarevc;;;3;;;;
Breakaway Funding;https://www.crunchbase.com/organization/breakaway-funding;;;Sausalito, California, United States;Private Equity Firm;Breakaway Funding connects growth-ready entrepreneurs with investors seeking alternatives to conventional equity investments.;http://www.breakawayfunding.com/;https://twitter.com/BreakawayFund;https://www.facebook.com/BreakawayFunding/;https://www.linkedin.com/company/breakaway-funding-llc;;;;;
Breakout Labs;https://www.crunchbase.com/organization/breakout-labs;13;;San Francisco, California, United States;Venture Capital;Breakout Labs support a portfolio of early-stage companies in areas ranging from food science and biomedicine to clean energy.;http://breakoutlabs.org;http://twitter.com/Breakout_Labs;http://www.facebook.com/pages/Breakout-Labs/195333593853800;http://www.linkedin.com/company/breakout-labs;12;1;;;
Breakwater Investment Management;https://www.crunchbase.com/organization/breakwater-investment-management;3;;Los Angeles, California, United States;Venture Capital;Breakwater Investment Management, LLC is a private investment firm.;http://breakwaterfunds.com/;http://twitter.com/BreakwaterFunds;http://www.facebook.com/breakwaterfunds;http://www.linkedin.com/company/breakwater-funds;3;1;;;
Brener International Group;https://www.crunchbase.com/organization/brener-international-group;1;;Beverly Hills, California, United States;Private Equity Firm;Brener International Group make investments in real estate, as well as small and middle market companies, funding growth strategies.;http://www.brenergroup.com/;;;;1;1;;;
Brentwood Associates;https://www.crunchbase.com/organization/brentwood-associates;9;2;Los Angeles, California, United States;Private Equity Firm;Brentwood Associates is a leading consumer-focused private equity investment firm based in Los Angeles.;http://www.brentwood.com;;;;6;3;;;
Brentwood Venture Capital;https://www.crunchbase.com/organization/brentwood-venture-capital;26;10;Menlo Park, California, United States;Venture Capital;Brentwood Venture Capital is a California-based principal investment firm that funds information technology and healthcare companies.;;;;;23;2;;;
Breyer Capital;https://www.crunchbase.com/organization/breyer-capital;26;5;Menlo Park, California, United States;Venture Capital;Premier global venture capital and private equity investor focused on catalyzing high-impact entrepreneurs in the US and China;http://breyercapital.com;https://twitter.com/jimihendrixlive;https://www.facebook.com/breyercapital/timeline;https://www.linkedin.com/company/6613913?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A6613913%2Cidx%3A1-1-1%2CtarId%3A1442937743452%2Ctas%3ABreyer%20Capital;23;5;;;
Brick & Mortar Ventures;https://www.crunchbase.com/organization/brick-mortar-vc;9;1;San Francisco, California, United States;Venture Capital;Brick & Mortar Ventures identifies, backs, enables emerging companies developing innovative software hardware solutions for the industries.;http://brickmortar.vc;https://twitter.com/brickmortarvc;https://www.facebook.com/pg/Brickmortarvc;https://www.linkedin.com/company/1512594;7;2;;;
Bridge 37 Ventures;https://www.crunchbase.com/organization/bridge-37-ventures;2;;San Francisco, California, United States;Venture Capital;B37 invests in exponential technologies or disruptive business models. Our Community helps these companies rapidly expand global reach.;http://www.bridge37.com;;;;2;;;;
Bridgescale Partners;https://www.crunchbase.com/organization/bridgescale-partners;23;8;Menlo Park, California, United States;Venture Capital;Bridgescale Partners is a growth equity firm based in the U.S. and Canada that invests in technology companies.;http://www.bridgescale.com;http://twitter.com/Bridgescale;;;18;10;;;
Bridgewall Ventures;https://www.crunchbase.com/organization/bridgewall-ventures;;;Palo Alto, California, United States;Angel Group;We bring the worlds of Silicon Valley and Wall Street a little closer, investing in early-stage FinTech startups.;http://www.bridgewall.us;http://twitter.com/bridge_wall;;http://www.linkedin.com/company/5034926;;;;;
Brighton Health Group;https://www.crunchbase.com/organization/brighton-health-group;1;;Spring Valley, California, United States;Venture Capital;Brighton Health Group is reinventing healthcare one disruptive business at a time.;http://brightonhealth.com/;;;;1;;;;
Brightpath Capital Partners;https://www.crunchbase.com/organization/brightpath-capital-partners;7;1;Oakland, California, United States;Venture Capital;Impact oriented mid-venture/growth stage investment firm focused on cleantech, health and wellness, sustainable ag, education, and fintech;http://www.brightpathcapitalpartners.com;;;;2;1;;;
Brilliant Ventures;https://www.crunchbase.com/organization/brilliant-ventures;;;Santa Monica, California, United States;Venture Capital;Beyond capital for brilliant entrepreneurs.;http://www.brilliant.ventures;;;;;;;;
Broad Beach Ventures;https://www.crunchbase.com/organization/broad-beach-ventures;1;;Los Angeles, California, United States;Venture Capital;Broad Beach Ventures was added in 2013.;;;;;1;;;;
Broadhead Ventures;https://www.crunchbase.com/organization/broadhead-ventures;;;San Diego, California, United States;Micro VC;Broadhead Ventures provides immediate access to high quality business leaders, available at the shortest possible notice, and for as long;http://broadheadventures.com;;;;;;;;
Broadview Capital Partners;https://www.crunchbase.com/organization/broadview-capital-partners-2;11;4;San Francisco, California, United States;Venture Capital;Broadview Capital Partners is a principal investment arm of Jefferies Broadview.;http://www.broadview.com;https://www.twitter.com/jefferiesevents;https://www.facebook.com/jefferiesllc;;8;5;;;
Broadway Angels;https://www.crunchbase.com/organization/broadway-angels;7;;San Francisco, California, United States;Angel Group;Broadway Angels is an angel investment group made up of world-class investors and business executives who all happen to be women.;http://www.broadway-angels.com;http://twitter.com/broadwayangels;;https://www.linkedin.com/company/broadway-angels;7;;;;
Broidy Capital Management;https://www.crunchbase.com/organization/broidy-capital-management;1;;Los Angeles, California, United States;Venture Capital;Broidy Capital Management is a firm that specializes in Investment banking.;http://www.broidycapital.com;https://www.twitter.com/elliott_broidy;https://www.facebook.com/elliottbroidy;;1;;;;
Broken Arrow Venture Capital;https://www.crunchbase.com/organization/broken-arrow-venture-capital;1;1;Los Altos, California, United States;Venture Capital;Broken Arrow Venture Capital is an early stage venture capital firm that invest in people and companies.;http://www.brokenarrowcapital.com;;;;1;;;;
Bronze Investments;https://www.crunchbase.com/organization/bronze-investments;7;;San Francisco, California, United States;Venture Capital;Bronze Investments, Llc is a financial investment advisory firm headquartered in San Francisco, California.;;;;;4;;;;
Bryant Stibel Investments;https://www.crunchbase.com/organization/bryant-stibel-investments;15;2;Malibu, California, United States;Angel Group;Bryant Stibel is Kobe Bryant and Jeff Stibel's venture capital vehicle, focusing on the convergence of technology, media and data.;http://www.bryantstibel.com/;;;;13;1;;;
Buchanan Investments;https://www.crunchbase.com/organization/buchanan-investments;5;1;San Francisco, California, United States;Venture Capital;Buchanan Investments specializes in private equity and venture capital investments in growth companies.;;;;;4;;;;
Builders;https://www.crunchbase.com/organization/builders;;;San Francisco, California, United States;Venture Capital;Bulders is a venture capital firm.;http://builders.vc/;https://twitter.com/buildersvc;;;;;;;
Bullpen Capital;https://www.crunchbase.com/organization/bullpen-capital;56;9;Menlo Park, California, United States;Micro VC;Bullpen Capital is an early-stage fund to make follow-on investments for companies who have recently raised seed.;http://bullpencap.com;http://twitter.com/bullpencap;http://www.facebook.com/bullpencapital;http://www.linkedin.com/company/bullpen-capital;40;13;;;
Burrill & Company;https://www.crunchbase.com/organization/burrill-co;73;17;San Francisco, California, United States;Venture Capital;Burrill & Company is a venture capital and private equity firm that invests in life sciences, biotechnology, and healthcare companies.;http://venture.burrillandco.com;http://twitter.com/burrillandco;https://www.facebook.com/share.php;http://www.linkedin.com/company/22460;54;14;;;
Burrill Agbio Capital Fund;https://www.crunchbase.com/organization/burrill-agbio-capital-fund;1;1;San Francisco, California, United States;Venture Capital;Burrill Agbio Capital Fund;http://www.burrillandco.com/nf_agfnd.htm;;;;1;;;;
Button Capital;https://www.crunchbase.com/organization/button-capital;;;Palo Alto, California, United States;Venture Capital;Button Capital is an independent venture capital of health industry, invest in profitable and established companies in China.;http://www.buttoninvest.com/;;;;;;;;
BWB Ventures;https://www.crunchbase.com/organization/bwb-ventures;2;;Los Angeles, California, United States;Venture Capital;BWB is an early stage fund headquartered in Singapore.;http://bwbventures.com/;;;;2;;;;
C.M. Capital Corporation;https://www.crunchbase.com/organization/c-m-capital-corporation;1;;Palo Alto, California, United States;Private Equity Firm;C.M. Capital Corporation (CMC) (cmcapitalgroup.com) is a member of the Cha Group of companies (Cha Group), owned and operated by the Cha;http://www.ccapital.com;;;;;1;;;
CA Capital;https://www.crunchbase.com/organization/ca-capital;1;;Sacramento, California, United States;Private Equity Firm;California Capital helps entrepreneurs to grow their businesses through educational workshops, one-on-one assistance, and online learning.;http://www.cacapital.org;https://www.twitter.com/cacapitalfdc;;;1;;;;
CAA Ventures;https://www.crunchbase.com/organization/caa-ventures;49;3;Los Angeles, California, United States;Corporate Venture Capital;CAA Ventures is a California-based early-stage venture capital fund that offers financing solutions to consumer internet companies.;http://www.caaventures.com/;;;;38;;;;
Caffeinated Capital;https://www.crunchbase.com/organization/caffeinated-capital;22;;San Francisco, California, United States;Venture Capital;Caffeinated Capital is a San Francisco based venture capital firm founded by Raymond Tonsing.;http://caffeinatedcapital.com/;https://twitter.com/caffeinatedcap;;;14;2;;;
CalCEF Clean Energy Angel Fund;https://www.crunchbase.com/organization/calcef-clean-energy-angel-fund;6;;San Francisco, California, United States;Angel Group;CalCEF Clean Energy Angel Fund invests in clean energy companies and is a San Francisco-based seed- and early-stage venture capital fund.;http://www.calcefangelfund.com;http://twitter.com/CalCEFAngelFund;;;4;;;;
Calera Capital;https://www.crunchbase.com/organization/calera-capital;3;2;San Francisco, California, United States;Venture Capital;Founded in 1991, Calera Capital, formerly known as Fremont Partners, is a private investment partnership which has $2.;http://www.caleracapital.com;;;;3;1;;;
California Capital Partners;https://www.crunchbase.com/organization/california-capital-partners;;;Los Angeles, California, United States;Micro VC;California Capital Partners, LLC (CalCap) is the manager of venture capital funds specializing in investing in small to medium sized;http://www.calcappartners.com;;;;;;;;
California HealthCare Foundation;https://www.crunchbase.com/organization/california-healthcare-foundation;3;1;Oakland, California, United States;Venture Capital;California HealthCare Foundation works as a catalyst fulfill the promise of better health care for all Californians.;http://www.chcf.org;http://twitter.com/chcfnews;http://www.facebook.com/chcfnews;http://www.linkedin.com/company/california-healthcare-foundation;2;2;;;
California Institute for Regenerative Medicine;https://www.crunchbase.com/organization/california-institute-for-regenerative-medicine;6;3;San Francisco, California, United States;Micro VC;The California Institute for Regenerative Medicine (The Institute or CIRM) was established in early 2005 following the passage of;http://www.cirm.ca.gov;http://twitter.com/cirmnews;http://www.facebook.com/CaliforniaInstituteForRegenerativeMedicine;;6;5;;;
California Technology Ventures;https://www.crunchbase.com/organization/california-technology-ventures;27;6;Pasadena, California, United States;Venture Capital;California Technology Ventures, LLC (CTV) is a venture capital fund that makes direct investments in technology and life science companies.;http://www.ctventures.com;;;;17;7;;;
CalSTRS;https://www.crunchbase.com/organization/calstrs;5;;West Sacramento, California, United States;Private Equity Firm;DuPont Ventures, an investment firm, finances entrepreneurial companies across various sectors, including agriculture and cleantech.;http://www.calstrs.com;http://twitter.com/CalSTRS;http://www.facebook.com/CalSTRS;http://www.linkedin.com/company/calstrs;2;1;;;
Caltius Capital Management;https://www.crunchbase.com/organization/caltius-equity-partners;3;;Los Angeles, California, United States;Private Equity Firm;A reliable financial partner to leading middle market companies seeking capital for acquisitions, recapitalizations, buyouts.;http://www.caltius.com;;;http://www.linkedin.com/company/591015;3;2;;;
Cambria Funds;https://www.crunchbase.com/organization/cambria-funds;1;;El Segundo, California, United States;Private Equity Firm;Cambria Funds is a SEC registered investment advisor.;http://www.cambriafunds.com/;;;;1;;;;
Cambrian Ventures;https://www.crunchbase.com/organization/cambrian-ventures;19;7;Livermore, California, United States;Venture Capital;Cambrian Ventures is a technology research and venture capital firm. They target disruptive technologies/applications and typically get;http://www.cambrianventures.com;;;;14;;;;
Cambridge West Ventures;https://www.crunchbase.com/organization/cambridge-west-ventures;1;;Redwood City, California, United States;Micro VC;Cambridge West Ventures is designed to power innovation by providing resources to early stage start-ups.;http://www.cambridgewestventures.com;;;;1;;;;
Camp One Ventures;https://www.crunchbase.com/organization/camp-one-ventures;56;3;Palo Alto, California, United States;Venture Capital;Camp One Ventures is a California-based venture capital fund specialized in early-stage social, mobile, FinTech, and SaaS-based investments.;http://www.camponeventures.com/;http://twitter.com/Camp1Ventures;http://www.facebook.com/camponeventures;http://www.linkedin.com/company/camp-one-ventures-llc;41;1;;;
CampVentures;https://www.crunchbase.com/organization/campventures;13;4;Los Altos, California, United States;Venture Capital;CampVentures is a true seed-stage venture capital firm. They engage with great companies in their earliest stages of development. For such;http://www.campventures.com;;;;10;1;;;
Canaan Partners;https://www.crunchbase.com/organization/canaan-partners;424;83;Menlo Park, California, United States;Venture Capital;Canaan Partners is a California-based early-stage venture capital firm focused on disruptive technology startups and healthcare companies.;http://www.canaan.com;http://twitter.com/canaanpartners;https://www.facebook.com/CanaanPartners;http://www.linkedin.com/company/canaan-partners;233;159;;;
Cannell Capital;https://www.crunchbase.com/organization/cannell-capital;1;1;San Francisco, California, United States;Micro VC;Cannell Capital is an employee owned hedge fund sponsor and investor in public equity markets.;http://cannellcapital.com;;;;1;;;;
Canter Capital;https://www.crunchbase.com/organization/canter-capital;1;;San Diego, California, United States;Micro VC;Canter Capital (CC) is having vigorously pursued investments outside of the real estate sector to diversify the companys holdings.;http://cantercapital.com;;;;1;1;;;
Cantos Ventures;https://www.crunchbase.com/organization/cantos-ventures;5;;San Francisco, California, United States;Micro VC;A sci-fi junkie's seed fund. We look for cutting edge solutions in pre-inflection verticals (health/fin/ag/mfg/logistics/constr/energy);http://cantos.vc/;https://twitter.com/cantosvc;https://www.facebook.com/cantosvc/;https://www.linkedin.com/company/cantos-ventures;5;;;;
Canvas Ventures;https://www.crunchbase.com/organization/canvas-venture-fund;19;1;Portola Valley, California, United States;Venture Capital;Portola Valley-based venture capital firm focused on making early-stage investments in technology companies;http://www.canvas.vc/;http://twitter.com/CanvasVC;http://www.facebook.com/CanvasVentures;http://www.linkedin.com/company/canvas-venture-fund;12;12;;;
Canyon Capital Realty Advisors;https://www.crunchbase.com/organization/canyon-capital-realty-advisors;1;;Los Angeles, California, United States;Venture Debt;Canyon Capital Advisors, are investment management firms and registered investment advisors headquartered in Los Angeles.;http://www.canyoncapitalrealtyadvisors.com/;;;;1;;;;
Canyon Creek Capital;https://www.crunchbase.com/organization/canyon-creek-capital;45;6;Santa Monica, California, United States;Venture Capital;Canyon Creek Capital is an early-stage venture fund focusing on series A investments.;http://canyoncreekcapital.com;https://twitter.com/CanyonCreekCap;;https://www.linkedin.com/company/2780965;38;;;;
CAP-idea;https://www.crunchbase.com/organization/cap-idea;1;1;San Francisco, California, United States;Venture Capital;Advisory services and financial capital for recurring revenue and growth businesses;http://www.cap-idea.com;;;;1;1;;;
Cape Andover Capital Partners;https://www.crunchbase.com/organization/cape-andover-capital-partners;1;1;Newport Beach, California, United States;Venture Capital;Cape Andover Capital Partners is an Irvine, California based venture capital fund that specializes in early stage financing rounds;http://www.capeandover.com/;;;;1;1;;;
Capital Group;https://www.crunchbase.com/organization/capital-group;12;6;San Francisco, California, United States;Venture Capital;Founded in 1931, Capital Group provides investment management services for long-term investors and is a private equity firm.;http://www.thecapitalgroup.com/;;;;12;2;;;
Capital Group Communications;https://www.crunchbase.com/organization/capital-group-communications;;;Sausalito, California, United States;Venture Capital;Capital Group Communications was added in 2013.;https://www.capitalgc.com;;;;;;;;
Capital IP Investment Partners;https://www.crunchbase.com/organization/capital-ip-investment-partners;1;1;San Francisco, California, United States;Private Equity Firm;Capital IP Investment Partners LLC (â€œCapIPâ€ù) is a special situation investment fund focused on opportunistic investments;http://www.capipip.com/;;;;1;;;;
Capital One Growth Ventures;https://www.crunchbase.com/organization/capital-one-growth-ventures;9;1;San Francisco, California, United States;Corporate Venture Capital;Capital One Growth Ventures is an investment firm focused big data technologies, payments, security, and financial technologies.;http://growthventures.capitalone.com/;http://twitter.com/CapitalOne;http://www.facebook.com/capitalone;;8;;;;
Capital Research & Management Co.;https://www.crunchbase.com/organization/capital-research-management-co;17;11;California City, California, United States;Venture Capital;Capital Research and Management Company, a subsidiary of The Capital Group Companies, offers investment management and related services.;;;;;17;1;;;
CapitalG;https://www.crunchbase.com/organization/google-capital;36;4;Mountain View, California, United States;Venture Capital;Google Capital is the growth capital fund financed by Google that invests for profit in growth stage technology companies.;https://www.capitalg.com/;https://twitter.com/capitalgtweets;;;26;19;;;
Cardinal Venture Capital;https://www.crunchbase.com/organization/cardinal-venture-capital;53;12;Menlo Park, California, United States;Venture Capital;Cardinal Venture Capital invests in early stage technology companies in the areas of Digital Media, Financial Technology, Mobility and;http://www.cardinalvc.com;;;;26;10;;;
Carlin Investments;https://www.crunchbase.com/organization/carlin-investments;1;1;Encino, California, United States;Private Equity Firm;Carlin Investments is a private investment firm focused on acquiring investments in established small and micro-market businesses.;http://www.carlinpartners.com;;;;1;;;;
Carmel Partners;https://www.crunchbase.com/organization/carmel-partners;;;San Francisco, California, United States;Venture Capital;Carmel Partners was added in 2013.;http://www.carmelpartners.com;;;;;;;;
Carneros Bay Capital;https://www.crunchbase.com/organization/carneros-bay-capital;;;San Francisco, California, United States;Venture Capital;Solution-focused, innovation and technology development organization.;http://www.CarnerosBay.com;;https://www.facebook.com/squarespace;https://www.linkedin.com/company/carneros-bay;;;;;
Carrick Capital Partners;https://www.crunchbase.com/organization/carrick-capital-partners;12;;San Francisco, California, United States;Venture Capital;Carrick Capital Partners is the first stop for entrepreneurs and business owners who are seeking unmatched expertise to help their;http://www.carrickcapitalpartners.com;;;http://www.linkedin.com/company/carrick-capital-partners;11;12;;;
Casa Verde Capital;https://www.crunchbase.com/organization/casa-verde-capital;2;;Los Angeles, California, United States;Venture Capital;Casa Verde Capital is a venture capital firm specialized in seed investments.;http://www.casaverdecapital.com/;;;;2;1;;;
Casmar Capital Partners; LLC;https://www.crunchbase.com/organization/casmar-capital-partners-llc;1;;Los Angeles, California, United States;Venture Capital;Casmar Capital Partners, LLC was added in 2011.;;;;;1;;;
Castle Creek Partners;https://www.crunchbase.com/organization/castle-creek-partners;4;1;Rancho Santa Fe, California, United States;Private Equity Firm;Castle Creek Capital is a private equity firm specializing in growth capital, turnarounds, recapitalizations, and buyouts.;http://www.castlecreek.com;;;;4;2;;;
Castlegate Capital;https://www.crunchbase.com/organization/castlegate-capital;;;Belvedere Tiburon, California, United States;Venture Capital;PE firm with M&A, Turnaround advisory services;http://www.castlegatecap.com;;;https://www.linkedin.com/company/castlegate-capital-advisors;;;;;
Catalyst Growth Partners;https://www.crunchbase.com/organization/catalyst-growth-partners;1;;Yucca Valley, California, United States;Venture Capital;Catalyst Growth Partners provides strategic and financial support to technology enabled businesses.;http://www.catalystgrowth.co.uk;https://twitter.com/AshleyGCooper;;https://www.linkedin.com/company-beta/10553757/;1;;;;
Catamount Ventures;https://www.crunchbase.com/organization/catamount-ventures;54;7;San Francisco, California, United States;Venture Capital;Catamount Ventures focuses on investing in early stage startups. We back world-class entrepreneurs with a plan to change the world through;http://www.catamountventures.com;http://twitter.com/CatamountVC;http://www.facebook.com/pages/Catamount-Ventures/160366154030193;;29;9;;;
Caterpillar Ventures;https://www.crunchbase.com/organization/caterpillar-ventures;8;;Menlo Park, California, United States;Corporate Venture Capital;Caterpillar is the world's leading manufacturer of construction and mining equipment, diesel and natural gas engines.;http://www.caterpillar.com/en/company/innovation/caterpillar-ventures.html;;;;8;;;;
Cathay Innovation;https://www.crunchbase.com/organization/cathay-innovation-fund;9;;San Francisco, California, United States;Venture Capital;Cathay Innovation is the global venture capital fund supporting digital entrepreneurs by bridging USA, Europe and China simultaneously.;https://www.cathayinnovation.com;https://twitter.com/Cathayinnov;https://www.facebook.com/Cathay-Innovation-1138603876164624/;https://www.linkedin.com/company/cathay-innovation;8;4;;;
Cavallino Capital;https://www.crunchbase.com/organization/cavallino-capital;3;;Sausalito, California, United States;Venture Capital;Cavallino Capital is an advisory and strategic capital management firm.;http://www.cavallinollc.com;http://twitter.com/CavallinoLLC;;;3;1;;;
CBRE Group;https://www.crunchbase.com/organization/cbre-group;5;;Los Angeles, California, United States;Private Equity Firm;CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries;http://cbre.com/EN;http://twitter.com/CBRE;http://www.facebook.com/cbre;http://www.linkedin.com/company/cbre;5;;;;
CCCC Growth Fund;https://www.crunchbase.com/organization/cccc-growth-fund;1;;South Pasadena, California, United States;Venture Capital;CCCC Growth Fund is a private equity firm specializing in growth capital investments.;http://www.ccccgrowthfund.com/;;;;1;;;;
CDIB BioScience Ventures;https://www.crunchbase.com/organization/cdib-ventures;14;3;San Diego, California, United States;Venture Capital;CDIB BioScience Venture Management (CBVM) is a life science venture management company with operations in US and Taiwan.;http://www.cdibbiosciencevc.com;;;;11;2;;;
CDIB Ventures;https://www.crunchbase.com/organization/cdib-ventures-2;7;4;Santa Clara, California, United States;Venture Capital;CDIB Ventures is out of business. It is a venture capital firm specializing in start-up, early stage, and mid-to-late stage investments;;;;;6;3;;;
CDK Ventures;https://www.crunchbase.com/organization/cdk-ventures;1;;Huntington Beach, California, United States;Private Equity Firm;CDK Ventures is a private investment firm.;http://www.cdkventures.com/;;;;1;1;;;
CDTI;https://www.crunchbase.com/organization/cdti;11;1;Ventura, California, United States;Angel Group;CDTi (NASDAQ: CDTI) is a cleantech emissions control company that designs, develops and manufactures sustainable solutions to reduce;http://www.cdti.com;http://twitter.com/CDTi_Emissions;;http://www.linkedin.com/company/517424;11;1;;;
Celerity Partners;https://www.crunchbase.com/organization/celerity-partners;6;1;Los Angeles, California, United States;Private Equity Firm;Celerity Partners is a private equity and venture capital firm specializing in investments in late venture, growth capital, acquisitions.;http://www.celeritypartners.com;;;;4;3;;;
Ceniarth;https://www.crunchbase.com/organization/ceniarth-2;1;;San Francisco, California, United States;Venture Capital;Ceniarth is a single-family office focused on funding market-based solutions that benefit underserved communities.;http://ceniarthllc.com/;https://www.twitter.com/ceniarth;;;1;;;;
Center Electric;https://www.crunchbase.com/organization/center-electric;12;;San Francisco, California, United States;Venture Capital;We invest to grow the most promising offerings in Internet infrastructure and the Internet of Things ecosystem.;http://cen.vc;;https://www.facebook.com/cenvc?fref=ts;https://www.linkedin.com/company/3812986?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3812986%2Cidx%3A1-2-2%2CtarId%3A1441738088755%2Ctas%3ACenter%20Electric;10;;;;
Centerview Capital;https://www.crunchbase.com/organization/centerview-capital;7;1;Palo Alto, California, United States;Private Equity Firm;Centerview Capital is a California-based private equity firm specialized in buyouts within the technology and consumer sectors.;http://www.centerviewcapital.com/technology;http://twitter.com/centerviewcap;;;6;6;;;
